ID,OPERACION,MSGID,CODIGO,TIEMPOMQ,TIPO,TiempoTransaccion
190,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A138C1A8,,8/05/2025 17:55,Req,
191,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A138AFEC,-22,8/05/2025 17:57,Resp,00:28
192,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A138AFEC,,8/05/2025 17:56,Req,
193,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A138AF99,-22,8/05/2025 17:56,Resp,00:28
194,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A138AF99,,8/05/2025 17:55,Req,
195,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13890F7,,8/05/2025 17:57,Resp,00:16
196,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13890F7,,8/05/2025 17:56,Req,
197,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A1389034,0,8/05/2025 17:53,Resp,00:00
198,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A1389034,,8/05/2025 17:53,Req,
199,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13861CA,-22,8/05/2025 17:56,Resp,00:28
200,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13861CA,,8/05/2025 17:56,Req,
201,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1384697,-22,8/05/2025 17:55,Resp,00:28
202,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1384697,,8/05/2025 17:55,Req,
203,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A138403E,-22,8/05/2025 17:54,Resp,00:28
204,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A138403E,,8/05/2025 17:53,Req,
205,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13819A8,-22,8/05/2025 17:55,Resp,00:28
206,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13819A8,,8/05/2025 17:55,Req,
207,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A1381950,-22,8/05/2025 17:54,Resp,00:28
208,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A1381950,,8/05/2025 17:54,Req,
209,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1380595,-22,8/05/2025 17:55,Resp,00:28
210,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1380595,,8/05/2025 17:55,Req,
211,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A137FBBA,-22,8/05/2025 17:56,Resp,00:28
212,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A137FBBA,,8/05/2025 17:55,Req,
213,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A137C9C1,0,8/05/2025 17:55,Resp,00:00
214,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A137C9C1,,8/05/2025 17:55,Req,
